speech_id,date,speaker,party_ref,temporal_grammar_code,symbolic_work_code,temporal_grammar_sentences_n,symbolic_work_sentences_n,temporal_grammar_sentences,symbolic_work_sentences,temporal_grammar_sentences_en,symbolic_work_sentences_en
nl.proc.sgd.d.194719480000479.4.2,1948-04-28,Meijerink,nl.p.arp,TG1,SW1,1,3,"Deze plannen herinneren mij aan de glorietijd van de Oost-Indische Compagnie, toen deze zich ook buiten elke staatkundige verantwoording hield en contracten afsloot met de Indische vorsten.","Ik verwacht van de economische en financiële overeenkomsten, los van Nederlands verantwoordelijkheid, niets dan ellende voor de Indonesische bevolking. Deze plannen herinneren mij aan de glorietijd van de Oost-Indische Compagnie, toen deze zich ook buiten elke staatkundige verantwoording hield en contracten afsloot met de Indische vorsten. || Ik verwacht van de economische en financiële overeenkomsten, los van Nederlands verantwoordelijkheid, niets dan ellende voor de Indonesische bevolking. || Deze plannen herinneren mij aan de glorietijd van de Oost-Indische Compagnie, toen deze zich ook buiten elke staatkundige verantwoording hield en contracten afsloot met de Indische vorsten.","These plans remind me of the heyday of the East India Company, when it also operated outside of any political accountability and made contracts with the Indian princes.","I expect nothing but misery for the Indonesian people from the economic and financial agreements, apart from Dutch responsibility. These plans remind me of the glory days of the Dutch East India Company, when it also operated outside of any political accountability and made contracts with the Indonesian princes. || I expect nothing but misery for the Indonesian people from the economic and financial agreements, regardless of Dutch responsibility. || These plans remind me of the heyday of the East India Company, when it also operated outside of any political accountability and made contracts with the Indian princes."
nl.proc.sgd.d.194819490000445.4.3,1948-11-16,Borst,nl.p.cpn,TG1,SW1,1,1,Het principe was daarbij hetzelfde als in de tijd van de heren van de koopvaardij in de 17de eeuw: goedkoop voiksvoedsel om de winsten van de grote ondernemers hoog te doen zijn.,Het principe was daarbij hetzelfde als in de tijd van de heren van de koopvaardij in de 17de eeuw: goedkoop voiksvoedsel om de winsten van de grote ondernemers hoog te doen zijn.,The principle was the same as in the time of the merchants of trade in the 17th century: cheap staple food to keep the profits of the big entrepreneurs high.,The principle was the same as in the time of the merchants of trade in the 17th century: cheap staple food to keep the profits of the big entrepreneurs high.
nl.proc.sgd.d.194819490000457.2.9,1948-12-09,Scheps,nl.p.pvda,TG1,SW5,1,1,Dan moet men het logboek van Michiel Adriaanszoon de Ruyter eens nazien en eens nagaan hoe men in Bestevaers tijd klaagde over de verwildering van zeden onder de matrozen.,"Dan leest men over de verwildering der zeden van „onze tijd"""", de zeventiende eeuw, en tevens een verwijzing naar vroeger tijd.","Then one should take a look at the logbook of Michiel Adriaanszoon de Ruyter and see how, during Bestevaer's time, there were complaints about the decline of morals among the sailors.","Then one reads about the decline of morals in ""our time,"" the seventeenth century, as well as a reference to earlier times."
nl.proc.sgd.d.194819490000472.6.11,1949-01-27,Korthals,nl.p.vvd,TG1,SW1,2,5,"Ik merk hierbij op, dat ons volk eeuwen lang verbonden is geweest met de zee en de waarde van de traditie mag zeker in dit verband niet over het hoofd worden gezien. || Zou dit verloren gaan, dan zal hier kunnen gelden het woord van onze grote admiraal De Ruyter.","Voor mij is het daarom noodzaak, dat wij een zo krachtig mogelijke marine hebben; || Daarom zeg ik, dat elk schip in bondgenootschappelijk verband zijn betekenis heeft. || Ik kan het er ook mee eens zijn, als men zegt, dat Nederland pontonniers naar voren moet brengen, maar ik denk daarbij ook aan het korps mariniers, dat een grote traditie heeft en dat in bondgenootschappelijk verband naar mijn gevoelen een zeer goede rol zal kunnen spelen. || Effectieve verdediging van een convooi vereist effectieve teams en in zulk een team van bescherming kunnen kruisers niet worden gemist. || ik acht hetgeen thans wordt gebouwd en gevraagd wel een minimum.","I would like to point out that our people have been connected to the sea for centuries, and the value of tradition should certainly not be overlooked in this context. || If this were to be lost, the words of our great admiral De Ruyter could apply here.","For me, it is therefore essential that we have a strong navy. || That is why I say that every ship has its significance in an alliance. || I can agree with the statement that the Netherlands should deploy pontoon engineers, but I also think of the Marine Corps, which has a great tradition and, in my opinion, could play a very good role in an allied context. || Effective defense of a convoy requires effective teams, and in such a protection team, cruisers cannot be overlooked. || I consider what is currently being built and requested to be a minimum."
nl.proc.sgd.d.194819490000487.3.2,1949-05-17,Welter zet zijn rede voort en,,TG1,SW2,1,1,"Aan de miHioenenbevolking wordt natuurlijk niet gedacht dooide Veiligheidsraad en de United Nations en het merkwaardige feit doet zich dus voor, dat een socialistische politiek in Indië uitloopt op een directe begunstiging van het kapitalisme in zijn slechtste, en ongunstigste vorm, dat de bevolking bloot stelt aan een uitbuiting zonder weerga, een uitbuiting waarmee vergeleken de tijd van de Oost-Indische Compagnie een rozige periode is.","Aan de miHioenenbevolking wordt natuurlijk niet gedacht dooide Veiligheidsraad en de United Nations en het merkwaardige feit doet zich dus voor, dat een socialistische politiek in Indië uitloopt op een directe begunstiging van het kapitalisme in zijn slechtste, en ongunstigste vorm, dat de bevolking bloot stelt aan een uitbuiting zonder weerga, een uitbuiting waarmee vergeleken de tijd van de Oost-Indische Compagnie een rozige periode is.","The millions of people are, of course, not considered by the Security Council and the United Nations, and the remarkable fact arises that a socialist policy in India results in a direct favoring of capitalism in its worst and most unfavorable form, exposing the population to an unprecedented exploitation, an exploitation that makes the time of the East India Company seem like a rosy period in comparison.","The millions of people are, of course, not considered by the Security Council and the United Nations, and the remarkable fact arises that a socialist policy in India results in a direct favoring of capitalism in its worst and most unfavorable form, exposing the population to an unprecedented exploitation, an exploitation that makes the time of the East India Company seem like a rosy period in comparison."
nl.proc.sgd.d.194919500000574.2.5,1949-11-09,Zandt,nl.p.sgp,TG3,SW2,2,2,"Het is thans zover gekomen, dat onze marine, haar basis, haar vlootvoogden en manschappen in Indië onder een vreemd bestuur zijn gesteld, zover gekomen, dat onze marine in de Indonesische wateren benevens de eigen vlag . || Wat zelfs de gewone janmaat uit onze Gouden Eeuw daarvan wel zeggen?","Het is thans zover gekomen, dat onze marine, haar basis, haar vlootvoogden en manschappen in Indië onder een vreemd bestuur zijn gesteld, zover gekomen, dat onze marine in de Indonesische wateren benevens de eigen vlag . || Wat zouden een De Ruyter, een Tromp, daar wel van getuigen?","It has now come to the point that our navy, its base, its fleet commanders, and personnel in India are under foreign control, to the extent that our navy is in Indonesian waters alongside its own flag. || What would even the average person from our Golden Age say about that?","It has now come to the point that our navy, its base, its fleet commanders, and personnel in India are under foreign control, to the extent that our navy is in Indonesian waters alongside its own flag. || What would a De Ruyter, a Tromp, testify about that?"
nl.proc.sgd.d.194919500000576.2.7,1949-11-11,Zandt,nl.p.sgp,TG2,SW1,2,2,"Niet alleen vocht zij zich zegevierend in een heldhaftige en roemruchte strijd vrij van Spanje""""s geweldige overmacht en despotisme, maar, meer nog, met schatten goud en zilver overladen, als Israël weleer uit Egypte's diensthuis, mochten onze voorouders een gouden eeuw ingaan. || De Regering moge zich dit voor ogen stellen en richte haar bestuur en beleid in overeenkomstig Gods Woord en Wet.",De Regering moge zich dit voor ogen stellen en richte haar bestuur en beleid in overeenkomstig Gods Woord en Wet. || Daarvan verwachten wij overeenkomstig Gods Woord het heil voor ons volk.,"Not only did she triumphantly free herself in a heroic and glorious struggle against Spain's overwhelming power and despotism, but, even more so, laden with treasures of gold and silver, like Israel of old from the house of bondage in Egypt, our ancestors were able to enter a golden age. || The Government should keep this in mind and shape its administration and policy in accordance with God's Word and Law.","The Government should keep this in mind and shape its administration and policy in accordance with God's Word and Law. || From that, we expect salvation for our people in accordance with God's Word."
nl.proc.sgd.d.194919500000587.4.6,1949-12-06,van der Goes van Naters,nl.p.pvda,TG4,SW4,3,3,"Ik meen, dat wij in onze dagen — och, het is zo begrijpelijk — wel iets te veel idealiseren de historische band van 300 jaar. Gijsbert Karel van Hogendorp, toch geen revolutionnair, heeft het tijdvak van de Oost-Indische Compagnie aldus gekarakteriseerd: Het land en volk werden uitgezogen en de beschaving zelf gestremd in haar natuurlijke loop. || Gijsbert Karel van Hogendorp, toch geen revolutionnair, heeft het tijdvak van de Oost-Indische Compagnie aldus gekarakteriseerd: Het land en volk werden uitgezogen en de beschaving zelf gestremd in haar natuurlijke loop. || Ik meen, dat wij in onze dagen — och, het is zo begrijpelijk — wel iets te veel idealiseren de historische band van 300 jaar.","Nu wil ik hieraan toevoegen, dat dit ook politiek afschuwelijke jaren waren. || Nu wil ik hieraan toevoegen, dat dit ook politiek afschuwelijke jaren waren. Het Indonesische conflict heeft zeer dikwijls sinds 1945 ook hier onze landspolitiek verlamd, onze nationale eenheid, die door de bezetting was versterkt, weer verbroken. || Gijsbert Karel van Hogendorp, toch geen revolutionnair, heeft het tijdvak van de Oost-Indische Compagnie aldus gekarakteriseerd: Het land en volk werden uitgezogen en de beschaving zelf gestremd in haar natuurlijke loop.","I mean, in our days — oh, it's so understandable — we tend to idealize the historical bond of 300 years a bit too much. Gijsbert Karel van Hogendorp, certainly no revolutionary, characterized the period of the East India Company as follows: The land and people were drained, and civilization itself was hindered in its natural course. || Gijsbert Karel van Hogendorp, not a revolutionary, characterized the era of the Dutch East India Company as follows: The land and people were drained, and civilization itself was hindered in its natural course. || I mean, in our days — oh, it's so understandable — we tend to idealize the historical bond of 300 years a bit too much.","I would like to add that these were also politically dreadful years. || I would like to add that these were also politically dreadful years. The Indonesian conflict has often paralyzed our domestic politics since 1945, breaking our national unity, which had been strengthened by the occupation. || Gijsbert Karel van Hogendorp, not a revolutionary, characterized the era of the Dutch East India Company as follows: The land and people were drained, and civilization itself was hindered in its natural course."
nl.proc.sgd.d.194919500000588.2.37,1949-12-07,Zandt,nl.p.sgp,TG2,SW3,3,3,"De slag onder admiraal De Ruyter bij Kijkduin had toen plaats. || God de Heere verwekke ons weer zulke mensen, die in de vreze Zijns Naams hun Vaderland liefhebben, want eerst dan zal Nederland weer een toekomst hebben. || Die zelfde God leeft nog.","De Ruyter was een man, die zijn vaderland zijn gehele hart toedroeg; || God de Heere verwekke ons weer zulke mensen, die in de vreze Zijns Naams hun Vaderland liefhebben, want eerst dan zal Nederland weer een toekomst hebben. || zijn vaderland was een stuk van zijn leven.","The battle under Admiral De Ruyter at Kijkduin took place then. || May God the Lord raise up such people again, who love their homeland in reverence of His Name, for only then will the Netherlands have a future again. || That same God is still alive.","De Ruyter was a man who devoted his whole heart to his homeland; || May God the Lord raise up such people again, who love their homeland in reverence of His Name, for only then will the Netherlands have a future again. || his homeland was a part of his life."
nl.proc.sgd.d.194919500000622.6.17,1950-05-25,Zandt,nl.p.sgp,TG3,SW4,1,1,"Zó ver is het dan gekomen, dat Nederland, dat eenmaal een gouden eeuw beleefde en aan de spits der volkeren stond, thans bij het verlies van Indonesië tot een der onbexluidenste volken van heel de wereld is geworden.",Dit heeft een diepere oorzaak. Ons volk heeft God de rug toegekeerd en Zijn Wet verlaten.,"So far has it come that the Netherlands, which once experienced a golden age and stood at the forefront of nations, has now become one of the most insignificant peoples in the world with the loss of Indonesia.",This has a deeper cause. Our people have turned their backs on God and abandoned His Law.
nl.proc.sgd.d.195019510000549.2.4,1950-09-22,Verhoeven,nl.p.kvp,TG1,SW1,2,2,"Meindert Hobbema was een eerzaam ambachtsman van het penseel in de gouden eeuw. || Ik hoop van harte, dat deze wijnproever in zijn huwelijksgeluk de beste wijn voor het laatst heeft bewaard, maar in ieder geval leert deze geschiedenis de les, dat de Overheid uiterst voorzichtig moet zijn in het kiezen van haar methodes om de kunstenaars te steunen.","Het moet in ieder geval niet zo zijn, dat postjes worden gegeven, die genieën verlammen. || Ik hoop van harte, dat deze wijnproever in zijn huwelijksgeluk de beste wijn voor het laatst heeft bewaard, maar in ieder geval leert deze geschiedenis de les, dat de Overheid uiterst voorzichtig moet zijn in het kiezen van haar methodes om de kunstenaars te steunen.","Meindert Hobbema was a respected craftsman of the brush in the Golden Age. || I sincerely hope that this wine taster has saved the best wine for last in his marital happiness, but in any case, this story teaches the lesson that the government must be extremely careful in choosing its methods to support artists.","It should not be the case that positions are given that paralyze geniuses. || I sincerely hope that this wine taster has saved the best wine for last in his marital happiness, but in any case, this story teaches the lesson that the government must be extremely careful in choosing its methods to support artists."
nl.proc.sgd.d.195019510000563.7.2,1950-11-10,Holtrop,,TG3,SW2,6,3,"Het is van een belangrijk imperium geworden tot een kleine vastelandstaat, die wellicht t. || Intuïtief voelden de bouwers van de Nederlandse Staat, dat het kleine land aan de mondingen van de grote rivieren van Europa tot elke prijs moest vermijden te worden geabsorbeerd door de oostelijke continentale machten, rijker, groter, machtiger dan het kleine land met 11 millioen inwoners in de 17de eeuw. || Een der zwartste bladzijden in de Nederlandse geschiedenis wordt dezer dagen geschreven. || Evenmin was iets te verwachten van geheime besprekingen van het Nederlandse Rode Kruis en van het Internationale Rode Kruis met de Regering van de Republiek Indonesië over het verlenen van steun aan een bevolking, welke werd uitgehongerd, omdat zij opkwam voor een elementair menselijk recht. || Ik wil aannemen — ik ben er zelfs van overtuigd —, dat de Regering bij de Veiligheidsraad en bij de Amerikaanse Regering stappen heeft gedaan om de zaak Ambon in de Veiligheidsraad aanhangig te maken, maar zij heeft blijkbaar zó weinig invloed in die kringen (wat na het gebeurde met de souvereiniteitsoverdracht niet verwonderlijk is), dat de Amerikaanse voorzitter van de Veiligheidsraad, Austin, bekend om zijn anti-Nederlandse uitingen en gevoelens, het bestaan heeft gedurende bijna 3 weken het voorstel om de zaakAmbon te behandelen onder de tafel te werken. || In dit verband acht ik mij verplicht te vermelden, dat, naar mij uit verschillende bronnen bekend is, zowel leger als vloot in de Verenigde Staten in ons geval zich verzet hebben tegen de politiek van „robbing Peter to pay Paul"""", maar het verloren hebben tegen de linkse en anti-Nederlandse stromingen in het State Department, waarvoor leger en vloot der Verenigde Staten onze dank verschuldigd is.","De realiteit is echter, dat de Regeringen sinds 1945, en ook deze, een zwak, weifelend beleid hebben gevoerd, dat tot een debacle moest leiden. || Ik meen, dat op deze houding van het Kabinet invloed heeft gehad de instelling van de Partij'van de Arbeid ten aanzien van de afscheiding van Indië. || Deze Regering heeft thans de ankerketting gekapt en daaruit volgt onvermijdelijk een nieuwe oriëntering voor ons land, welke op de duur zich onvermijdelijk moet richten naar het Oosten.","It has transformed from a significant empire into a small mainland state, which may... || Intuitively, the builders of the Dutch State felt that the small country at the mouths of Europe's great rivers had to avoid being absorbed by the eastern continental powers at all costs, which were richer, larger, and more powerful than the small country with 11 million inhabitants in the 17th century. || One of the darkest chapters in Dutch history is being written these days. || Nothing could be expected from secret discussions between the Dutch Red Cross and the International Red Cross with the Government of the Republic of Indonesia regarding the provision of support to a population that was being starved because they stood up for a fundamental human right. || I want to assume — I am even convinced — that the Government has taken steps with the Security Council and the American Government to bring the Ambon issue before the Security Council, but it seems that they have so little influence in those circles (which is not surprising after what happened with the transfer of sovereignty) that the American president of the Security Council, Austin, known for his anti-Dutch statements and sentiments, has managed to keep the proposal to address the Ambon issue off the table for almost 3 weeks. || In this context, I feel compelled to mention that, according to various sources, both the army and the navy in the United States have opposed the policy of ""robbing Peter to pay Paul"" in our case, but they have lost out to the leftist and anti-Dutch currents in the State Department, for which the army and navy of the United States deserve our gratitude.","The reality is, however, that the governments since 1945, including this one, have pursued a weak, hesitant policy that was bound to lead to a debacle. || I believe that the attitude of the Cabinet has been influenced by the stance of the Labour Party regarding the separation of Indonesia. || This government has now severed the anchor chain, and as a result, a new orientation for our country is inevitably emerging, which will ultimately have to turn towards the East."
nl.proc.sgd.d.195019510000588.2.38,1951-01-23,Gerbrandy,nl.p.arp,TG1,SW1,2,2,"Reeds in de studie, die men als het standaardwerk van de Calvinistische Staatsleer van de 17de eeuw kan opvatten, het werk van Althusius, komt voor onder bepaalde omstandigheden de bevoegd tot secessie. || Wij zouden zeggen: daar zit het element van zelfbestemming, zoals het tegenwoordig wordt geïnterpreteerd, in beginsel reeds in.","Reeds in de studie, die men als het standaardwerk van de Calvinistische Staatsleer van de 17de eeuw kan opvatten, het werk van Althusius, komt voor onder bepaalde omstandigheden de bevoegd tot secessie. || Wij zouden zeggen: daar zit het element van zelfbestemming, zoals het tegenwoordig wordt geïnterpreteerd, in beginsel reeds in.","Already in the study, which can be regarded as the standard work of 17th-century Calvinist political theory, the work of Althusius mentions that under certain circumstances, the right to secession exists. || We would say: the element of self-determination, as it is currently interpreted, is fundamentally already present in that.","Already in the study, which can be regarded as the standard work of 17th-century Calvinist political theory, the work of Althusius mentions that under certain circumstances, the right to secession exists. || We would say: the element of self-determination, as it is currently interpreted, is fundamentally already present in that."
nl.proc.sgd.d.195019510000605.5.4,1951-05-10,Fortanier-de Wit,nl.p.vvd,TG2,SW1,2,2,"Had het, zo vraagt hij verder, een kwaliteit ingeboet, die men de heroïsche zou willen noemen? || Huizinga over spreekt, zich manifesteren in een duidelijke opvoering van onze beschavingskracht.","Een belangrijke taak en een zware verantwoordelijkheid liggen hier voor het gehele Kabinet en in het bijzonder voor de bewindslieden van Onderwijs, Kunsten en Wetenschappen, || ) Een opvoering van onze beschavingskracht, opdat het Nederlandse volk in steeds grotere lagen het besef zal krijgen, dat de offers voor de militaire verdediging noodzakelijk zijn om de Nederlandse cultuur in de meest ruime zin van het woord te beschermen.","Did it, he asks further, lose a quality that one would want to call heroic? || Huizinga speaks about manifesting in a clear demonstration of our civilizational strength.","An important task and a heavy responsibility lie ahead for the entire Cabinet, and in particular for the ministers of Education, Arts, and Sciences. || A demonstration of our civilizational strength, so that the Dutch people will increasingly realize that the sacrifices for military defense are necessary to protect Dutch culture in the broadest sense of the word."
